Département,Année,Taux de chômage
Tarn,2019,8.93
Tarn,2020,8.2
Tarn,2021,8.0
Tarn,2022,7.8
Tarn,2023,7.77
Tarn-et-Garonne,2016,11.5
Tarn-et-Garonne,2017,10.8
Tarn-et-Garonne,2018,10.38
Tarn-et-Garonne,2019,9.6
Tarn-et-Garonne,2020,9.02
Tarn-et-Garonne,2021,9.12
Tarn-et-Garonne,2022,8.57
Tarn-et-Garonne,2023,8.5
Territoire de Belfort,2016,10.82
Territoire de Belfort,2017,9.6
Territoire de Belfort,2018,9.15
Territoire de Belfort,2019,8.95
Territoire de Belfort,2020,9.05
Territoire de Belfort,2021,8.98
Territoire de Belfort,2022,8.25
Territoire de Belfort,2023,8.4
Val-d'Oise,2016,10.07
Val-d'Oise,2017,9.52
Val-d'Oise,2018,9.18
Val-d'Oise,2019,8.5
Val-d'Oise,2020,8.45
Val-d'Oise,2021,8.7
Val-d'Oise,2022,8.07
Val-d'Oise,2023,7.93
Val-de-Marne,2016,8.83
Val-de-Marne,2017,8.38
Val-de-Marne,2018,8.05
Val-de-Marne,2019,7.45
Val-de-Marne,2020,7.45
Val-de-Marne,2021,7.7
Val-de-Marne,2022,7.18
Val-de-Marne,2023,7.03
Var,2016,10.78
Var,2017,10.18
Var,2018,9.8
Var,2019,9.1
Var,2020,8.45
Var,2021,8.12
Var,2022,7.38
Var,2023,7.3
Vaucluse,2016,12.82
Vaucluse,2017,11.98
Vaucluse,2018,11.62
Vaucluse,2019,10.95
Vaucluse,2020,10.27
Vaucluse,2021,10.1
Vaucluse,2022,9.5
Vaucluse,2023,9.5
Vendée,2016,7.85
Vendée,2017,7.13
Vendée,2018,6.7
Vendée,2019,6.45
Vendée,2020,6.45
Vendée,2021,5.82
Vendée,2022,5.2
Vendée,2023,5.07
Vienne,2016,8.4
Vienne,2017,7.63
Vienne,2018,7.38
Vienne,2019,6.85
Vienne,2020,6.55
Vienne,2021,6.38
Vienne,2022,5.88
Vienne,2023,5.93
Vosges,2016,10.98
Vosges,2017,9.98
Vosges,2018,9.4
Vosges,2019,8.9
Vosges,2020,8.38
Vosges,2021,8.02
Vosges,2022,7.45
Vosges,2023,7.67
Yonne,2016,9.57
Yonne,2017,8.73
Yonne,2018,8.22
Yonne,2019,7.8
Yonne,2020,7.22
Yonne,2021,7.02
Yonne,2022,6.7
Yonne,2023,6.87
Yvelines,2016,7.4
Yvelines,2017,7.0
Yvelines,2018,6.88
Yvelines,2019,6.48
Yvelines,2020,6.42
Yvelines,2021,6.7
Yvelines,2022,6.43
Yvelines,2023,6.33
